what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1326864679675
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1326864679676
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1326864679676
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1326864679677
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1326864679677
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1326864679678
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1326864679678
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1326864679686
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1326864679686
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1326864679687
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1326864679687
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1326864679688
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1326864679688
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1326864679688
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1326864679689
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1326864679689
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1326864679689
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1326864679690
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1326864679691
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1326864679691
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1326864679691
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1326864679692
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1326864679692
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1326864679693
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1326864679693
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1326864679693
started,bundle,org.eclipse.egit.core,1.0.0.201106090707-r,"org.eclipse.egit.core",1326864679693
started,bundle,org.eclipse.egit.ui,1.0.0.201106090707-r,"org.eclipse.egit.ui",1326864679694
started,bundle,org.eclipse.jgit,1.0.0.201106090707-r,"org.eclipse.jgit",1326864679694
os,sysinfo,,,"macosx",1326864679697
arch,sysinfo,,,"x86_64",1326864679697
ws,sysinfo,,,"cocoa",1326864679697
locale,sysinfo,,,"en_US",1326864679697
processors,sysinfo,,,"8",1326864679697
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1326864679697
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1326864679697
java.specification.name,sysinfo,,,"Java Platform API Specification",1326864679697
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326864679697
java.specification.version,sysinfo,,,"1.6",1326864679697
java.vendor,sysinfo,,,"Apple Inc.",1326864679697
java.version,sysinfo,,,"1.6.0_29",1326864679697
java.vm.info,sysinfo,,,"mixed mode",1326864679697
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1326864679697
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326864679697
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326864679697
java.vm.specification.version,sysinfo,,,"1.0",1326864679697
java.vm.vendor,sysinfo,,,"Apple Inc.",1326864679697
java.vm.version,sysinfo,,,"20.4-b02-402",1326864679697
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1326864681018
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1326864681025
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1326864681037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326864689980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326864694834
opened,view,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.ccvs.ui.RepositoriesView",1326864694949
activated,view,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.ccvs.ui.RepositoriesView",1326864694970
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1326864694971
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1326864694971
started,bundle,org.eclipse.team.cvs.ssh2,3.2.300.I20110511-0800,"org.eclipse.team.cvs.ssh2",1326864699602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326864699658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326864701275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326864711999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326864718443
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1326864729489
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1326864729493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326864732263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326864732792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326864732880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326864738295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326864738615
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1326864740737
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1326864740772
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1326864740794
started,bundle,org.eclipse.pde,3.6.100.v201106131736,"org.eclipse.pde",1326864740804
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1326864740832
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1326864740834
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110506,"org.eclipse.equinox.frameworkadmin.equinox",1326864741827
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1326864741835
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1326864741895
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1326864742784
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1326864742806
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1326864742808
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1326864742954
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1326864743013
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1326864743013
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1326864743045
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1326864743060
started,bundle,org.eclipse.jst.j2ee.core,1.2.100.v201105122000,"org.eclipse.jst.j2ee.core",1326864743064
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1326864743071
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1326864743085
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1326864743087
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1326864743093
started,bundle,org.eclipse.jst.j2ee,1.1.500.v201105122000,"org.eclipse.jst.j2ee",1326864743109
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1326864743110
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.500.v201012020700,"org.eclipse.jst.j2ee.navigator.ui",1326864743124
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1326864743669
started,bundle,org.eclipse.jst.common.frameworks,1.1.500.v201104081500,"org.eclipse.jst.common.frameworks",1326864747831
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1326864747929
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1326864747930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326864750026
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1326864750726
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1326864750830
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1326864750831
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1326864750849
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1326864750850
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1326864750854
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1326864751582
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1326864751586
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1326864751692
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1326864752308
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1326864752309
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1326864752379
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1326864752388
